rec_id,nr_hit,species,group member,method,classification,notes,Old_rec_id,Old_fasta_name
E8HFJ1,EFX16219.1,Escherichia coli O157:H- str. 493-89,,,,,,
E8HJ45,EFX15094.1,Escherichia coli O157:H- str. 493-89,,,,,,
E8I3D1,EFX18274.1,Escherichia coli O157:H- str. H 2687,,,,,,
E8I5N4,EFX16868.1,Escherichia coli O157:H- str. H 2687,,,,,,
B5Z1A4,WP_001118000.1,Escherichia coli O157:H7,,,,,,
C6USQ9,WP_001303944.1,Escherichia coli O157:H7,,,,,,
C6UUW9,WP_001121225.1,Escherichia coli O157:H7,,,,,,
C6UYM8,WP_000386949.1,Escherichia coli O157:H7,,,,,,
common_EspY3__uniprot_Q8XE85__genbank_WP_000978349.1__species_Escherichia_coli_O157:H7,WP_000978349.1,Escherichia coli O157:H7,Noam,Translocation Assay and Fluorescence Confocal Microscopy,proven,,C6UZ57,C6UZ57_Escherichia_coli typeIII
tr|A4PDT9|A4PDT9_ECOLXTir-cytoskeleton,QKQ91906.1,Escherichia coli O157:H7,,,,,,
B2NKI1,ACI35895.1,Escherichia coli O157:H7 str. EC4115,,,,,,
B2NKJ4,ACI39399.1,Escherichia coli O157:H7 str. EC4115,,,,,,
tr|O85646|O85646_ECOLXEspG,AAC31534.1,Escherichia coli O157:H7 str. EDL933,,,,,,
E8H1W5,EFX11449.1,Escherichia coli O157:H7 str. G5101,,,,,,
B7A2Z7,EZB88718.1,Escherichia coli O157:H7 str. K2188,,,,,,
E8JC43,EFX31295.1,Escherichia coli O157:H7 str. LSU-61,,,,,,
tr|A4PDV2|A4PDV2_ECOLXTir-cytoskeleton,BAF52374.1,Escherichia coli O26,,,,,,
tr|A4PDU5|A4PDU5_ECOLXTir-cytoskeleton,BAF52367.1,Escherichia coli O26:H11,,,,,,
tr|A9ZNE9|A9ZNE9_ECOLXNon-LEE-encoded,EJE91668.1,Escherichia coli O26:H11 str. CVM10030,,,,,,
tr|A4PDT7|A4PDT7_ECOLXTir-cytoskeleton,BAF52359.1,Escherichia coli O41:H-,,,,,,
tr|A4PDT6|A4PDT6_ECOLXTir-cytoskeleton,BAF52358.1,Escherichia coli O51:H-,,,,,,
E8I9I8,EFX25561.1,Escherichia coli O55:H7 str. 3256-97,,,,,,
ECs_4590,EIO88764.1,Escherichia coli TW09195,,,,,,
D9SIB1,WP_013292111.1,Gallionella capsiferriformans,Ella,,not proven,homolog to hopPmaJ,,
F3LJT1,EGG92858.1,gamma proteobacterium IMCC1989,Ella,,not proven,homolog to hopPmaJ,,
F3KBK9,EGH00242.1,gamma proteobacterium IMCC2047,Ella,,not proven,homolog to hopPmaJ,,
F4AS90,AEE24366.1,Glaciecola sp. 4H-3-7+YE-5,Ella,,not proven,homolog to hopPmaJ,,
C6XMK1,WP_015828065.1,Hirschia baltica,Ella,,not proven,homolog to hopPmaJ,,
NopF,WP_046968095.1,Luteibacter rhizovicinus,,,,,,
E4PQF6,WP_014576244.1,Marinobacter adhaerens,Ella,,not proven,homolog to hopPmaJ,,
F2JVT1,WP_013661621.1,Marinomonas mediterranea,Ella,,not proven,homolog to hopPmaJ,,
F2JYU5,ADZ89720.1,Marinomonas mediterranea MMB-1,Ella,,not proven,homolog to hopPmaJ,,
F6CT38,WP_013796571.1,Marinomonas posidonica,,,,,,
A6VW63,WP_012069471.1,Marinomonas sp. MWYL1,Ella,,not proven,homolog to HopPmaJ,,
BAB52641.1,BAB52641.1,Mesorhizobium japonicum MAFF 303099,,,,,,
BAB52669.1,BAB52669.1,Mesorhizobium japonicum MAFF 303099,,,,,,
tr|Q989R4|Q989R4_RHILOMlr6316,BAB52630.1,Mesorhizobium japonicum MAFF 303099,,,,,,
G3J2E1,WP_006894108.1,Methylobacter tundripaludum,Ella,,not proven,homolog to HopPmaJ,,
F5V2G4,EIC29115.1,Methylomicrobium album BG8,Ella,,not proven,homolog to HopPmaJ,,
F9ZXK0,WP_013819224.1,Methylomonas methanica,Ella,,not proven,homolog to HopPmaJ,,
F5T294,WP_007146939.1,Methylophaga aminisulfidivorans,Ella,,not proven,homolog to HopPmaJ,,
BAU89920.1,BAU89920.1,Methylorubrum populi,,,,,,
G4T3E8,WP_014148462.1,Methylotuvimicrobium alcaliphilum,Ella,,not proven,homolog to HopPmaJ,,
DspA-E,WP_081276226.1,Pantoea agglomerans,,,,,,
DspA/E,WP_081273779.1,Pantoea agglomerans,,,,,,
HopAF,WP_196766581.1,Pantoea agglomerans,,,,,,
HopAY1_WP_196766517.1,WP_196766517.1,Pantoea agglomerans,,,,,,
HsvG_WP_032489273.1,WP_032489273.1,Pantoea agglomerans,,,,,,
HsvG_WP_064704011.1,WP_064704011.1,Pantoea agglomerans,,,,,,
pseB,WP_155740514.1,Pantoea agglomerans,,,,,,
pthGPAB,WP_032490486.1,Pantoea agglomerans,,,,,,
tr|O85666|O85666_PANAYPthG,WP_032490486.1,Pantoea agglomerans,,,,,,
Q2LDQ4,ABC72310.1,Pantoea agglomerans pv. betae,,,,,,
Q2LDQ5,ABC72309.1,Pantoea agglomerans pv. gypsophilae,,,,,,
tr|A2I8A1|A2I8A1_PANAYHsvG,ABM66110.1,Pantoea agglomerans pv. gypsophilae,,,,,,
tr|A2I8A2|A2I8A2_PANAYHsvB,ABM66111.1,Pantoea agglomerans pv. gypsophilae,,,,,,
tr|Q9FCY7|Q9FCY7_PANSEWtsE,AAG01467.2,Pantoea stewartii subsp. stewartii,,,,,,
Q6RK52,WP_011093673.1,Pectobacterium atrosepticum,,,,,,
tr|Q6RK53|Q6RK53_PECATDspE,WP_011093674.1,Pectobacterium atrosepticum,,,,,,
GKW34093.1-AvrXccA1,,Pectobacterium carotovorum subsp. carotovorum,,,,,,
B6VK43,WP_012777218.1,Photorhabdus asymbiotica,,,,,,
tr|Q7N439|Q7N439_PHOLLUncharacterized,KTL62881.1,Photorhabdus laumondii subsp. laumondii,,,,,,
tr|Q7MYD1|Q7MYD1_PHOLLUncharacterized,CAE17122.1,Photorhabdus laumondii subsp. laumondii TTO1,,,,,,
gi|238828265|pdb|3GQJ|AChain,WP_110826457.1,Photorhabdus Luminescens,,,,,,
sp|A2S1Q1|BIPC_BURM9Effector,WP_004203135.1,pseudomallei group,,,,,,
sp|A2S1Q7|BOPE_BURM9Guanine,WP_004188462.1,pseudomallei group,,,,,,
sp|A2S1Q9|BOPA_BURM9Effector,WP_004187505.1,pseudomallei group,,,,,,
common_ExoY__uniprot_UPI0000F2EDDE__genbank_WP_004343509.1__species_Pseudomonas_aeruginosa,WP_004343509.1,Pseudomonas aeruginosa,Iris,Cya,proven,,A3KTX8,A3KTX8_Pseudomonas_aeruginosa typeIII
A6V1Y6,WP_012074828.1,Pseudomonas aeruginosa,Ella,,not proven,homolog to HopPmaJ,,
E3A3D3,MBI8585359.1,Pseudomonas aeruginosa,,,,,,
common_ExoU__uniprot_UPI00106C375A__genbank_WP_134607685.1__species_Pseudomonas_aeruginosa,WP_134607685.1,Pseudomonas aeruginosa,Iris,Immunoblot,proven,,F5KDW0,F5KDW0_Pseudomonas_aeruginosa typeIII
F5KQF6,WP_003110763.1,Pseudomonas aeruginosa,,,,,,
G4LGR3,AVJ97995.1,Pseudomonas aeruginosa,,,,,,
G4LGR4,AVK00404.1,Pseudomonas aeruginosa,,,,,,
Q1W4W0,WP_031693452.1,Pseudomonas aeruginosa,,,,,,
Q51445,WP_003118558.1,Pseudomonas aeruginosa,,,,,,
Q933J5,WP_023091063.1,Pseudomonas aeruginosa,,,,,,
Q93SP9,WP_126584566.1,Pseudomonas aeruginosa,,,,,,
Q93SQ0,WP_015649489.1,Pseudomonas aeruginosa,,,,,,
Q93SQ1,WP_016253040.1,Pseudomonas aeruginosa,,,,,,
Q93SQ2,AAK38477.1,Pseudomonas aeruginosa,,,,,,
Q93SQ3,AAK38418.1,Pseudomonas aeruginosa,,,,,,
tr|O34208|O34208_PSEAIExoU,WP_003134060.1,Pseudomonas aeruginosa,,,,,,
tr|O85345|O85345_PSEAIAdenylate,WP_016263503.1,Pseudomonas aeruginosa,,,,,,
tr|Q1W4Y8|Q1W4Y8_PSEAIType,WP_023098783.1,Pseudomonas aeruginosa,,,,,,
tr|Q9I788|Q9I788_PSEAEExoenzyme,WP_003114583.1,Pseudomonas aeruginosa,,,,,,
B7V9R6,WP_003115517.1,Pseudomonas aeruginosa (strain LESB58),,,,,,
Q02LX8,WP_011666674.1,Pseudomonas aeruginosa (strain UCBPP-PA14),,,,,,
Q02V35,WP_003136948.1,Pseudomonas aeruginosa (strain UCBPP-PA14),,,,,,
common_pemB__uniprot_A0A0H2Z9C0__genbank_WP_003140206.1__species_Pseudomonas_aeruginosa,WP_003140206,Pseudomonas aeruginosa (strain UCBPP-PA14),Iris,BlaM,proven,pemB,,
common_pemA__uniprot_A0A0H2ZEX1__genbank_ABJ12917.1__species_Pseudomonas_aeruginosa,WP_003098661.1,Pseudomonas aeruginosa (strain UCBPP-PA14),Iris,BlaM,proven,pemA,,
A3L8F3,WP_003158710.1,Pseudomonas aeruginosa 2192,,,,,,
E2ZQ61,WP_023098783.1,Pseudomonas aeruginosa 39016,,,,,,
G2L3P6,AEO75328.1,Pseudomonas aeruginosa M18,,,,,,
G4LC22,WP_003083555.1,Pseudomonas aeruginosa NCGM2.S1,,,,,,
tr|Q51451|Q51451_PSEAIExoenzyme,CAA67834.1,Pseudomonas aeruginosa PAO1,,,,,,
C7DYA7,WP_122333850.1,Pseudomonas amygdali,,,,,,
F3DFE9,WP_005733122.1,Pseudomonas amygdali,,,,,,
F3DLN5,WP_031599648.1,Pseudomonas amygdali,,,,,,
F3DLP0,WP_005730292.1,Pseudomonas amygdali,,,,,,
F3DLR2,WP_005730322.1,Pseudomonas amygdali,,,,,,
F3DLS4,WP_032701278.1,Pseudomonas amygdali,,,,,,
F3DLU3,WP_005730363.1,Pseudomonas amygdali,,,,,,
F3DLX5,WP_005730407.1,Pseudomonas amygdali,,,,,,
F3DNV4,WP_005735158.1,Pseudomonas amygdali,,,,,,
F3DP08,WP_031599288.1,Pseudomonas amygdali,,,,,,
F3DP12,WP_080544444.1,Pseudomonas amygdali,,,,,,
F3EA95,WP_005743328.1,Pseudomonas amygdali,,,,,,
F3EHJ5,WP_005745349.1,Pseudomonas amygdali,,,,,,
F3EKD3,WP_005746178.1,Pseudomonas amygdali,,,,,,
F3ELP0,WP_005746561.1,Pseudomonas amygdali,,,,,,
F3EX37,WP_005755868.1,Pseudomonas amygdali,,,,,,
F3F1H2,WP_005758216.1,Pseudomonas amygdali,,,,,,
F3K2Q7,WP_046832762.1,Pseudomonas amygdali,,,,,,
hopAR1,WP_162305744.1,Pseudomonas amygdali,,,,,,
hopF1,WP_039847575.1,Pseudomonas amygdali,,,,,,
tr|A0A0N1JIP6|A0A0N1JIP6_PSEAV,WP_005745414.1,Pseudomonas amygdali,,,,,,
tr|A0A3M6G7Q0|A0A3M6G7Q0_PSEAJ,WP_005783156.1,Pseudomonas amygdali,,,,,,
tr|A0FDW2|A0FDW2_PSEAVPeptidase,WP_005746524.1,Pseudomonas amygdali,,,,,,
tr|F3IDS2|F3IDS2_PSEAVType,WP_032710322.1,Pseudomonas amygdali,,,,,,
tr|F3IJD5|F3IJD5_PSEAVType,WP_005767312.1,Pseudomonas amygdali,,,,,,
F3DBD0,EGH01624.1,Pseudomonas amygdali pv. aesculi str. 0893_23,,,,,,
F3DLE0,EGH05151.1,Pseudomonas amygdali pv. aesculi str. 0893_23,,,,,,
F3DLN9,EGH05250.1,Pseudomonas amygdali pv. aesculi str. 0893_23,,,,,,
F3DNH1,EGH05882.1,Pseudomonas amygdali pv. aesculi str. 0893_23,,,,,,
F3DP13,KPX12354.1,Pseudomonas amygdali pv. dendropanacis,,,,,,
F3DM15,GFZ63035.1,Pseudomonas amygdali pv. eriobotryae,,,,,,
F3EHY2,KPX57805.1,Pseudomonas amygdali pv. hibisci,,,,,,
F3JWA0,KPX51588.1,Pseudomonas amygdali pv. hibisci,,,,,,
C7DYA9,RMP30659.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3EA62,ARA79849.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3EA66,RMM48776.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3ECT3,ARA83287.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3EHY1,KPC02558.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3EHY3,RMP32989.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3EHY5,ARA83736.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3EL96,RMP26908.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3INX7,KPC06916.1,Pseudomonas amygdali pv. lachrymans,,,,,,
F3EHY4,AXH57964.1,Pseudomonas amygdali pv. lachrymans str. M301315,,,,,,
common_HopBD1__genbank_ADQ74898.1__uniprot_E5G0U7__species_Pseudomonas_amygdali_pv._lachrymans_str._M301315,ADQ74898.1,Pseudomonas amygdali pv. lachrymans str. M301315,Ella,AvrRpt2,proven,The translocation conformation is in dataset S9,,
F3IDI2,EGH95073.1,Pseudomonas amygdali pv. lachrymans str. M302278,,,,,,
F3IP91,EGH98957.1,Pseudomonas amygdali pv. lachrymans str. M302278,,,,,,
F3IRS4,EGH99840.1,Pseudomonas amygdali pv. lachrymans str. M302278,,,,,,
F3IRV3,EGH99869.1,Pseudomonas amygdali pv. lachrymans str. M302278,,,,,,
tr|F3IDL2|F3IDL2_PSEAVType,EGH95106.1,Pseudomonas amygdali pv. lachrymans str. M302278,,,,,,
tr|F3IP81|F3IP81_PSEAVType,EGH98947.1,Pseudomonas amygdali pv. lachrymans str. M302278,,,,,,
tr|F3IRM7|F3IRM7_PSEAVType,EGH99793.1,Pseudomonas amygdali pv. lachrymans str. M302278,,,,,,
C7DYA8,ACT76406.1,Pseudomonas amygdali pv. mori,,,,,,
tr|A0A656GG29|A0A656GG29_PSEA0,KPX96454.1,Pseudomonas amygdali pv. mori,,,,,,
F3ETY7,EGH21419.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3EWR8,EGH22400.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3F170,EGH23956.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3F4A9,EGH25045.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3FAU3,EGH27329.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3FAX9,EGH27365.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3FB96,EGH27482.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3FBA3,EGH27489.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
tr|A0A656G4D5|A0A656G4D5_PSEA0,EGH20568.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
tr|A0A656GNA3|A0A656GNA3_PSEA0,EGH27097.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
tr|E5G0U5|E5G0U5_PSEA0HopBB1,ADQ74896.1,Pseudomonas amygdali pv. mori str. 301020,,,,,,
F3DX70,RML54573.1,Pseudomonas amygdali pv. morsprunorum,,,,,,
tr|A0A3M2WSV6|A0A3M2WSV6_PSEA0,WP_005740946.1,Pseudomonas amygdali pv. morsprunorum,,,,,,
F3DPZ3,EGH07052.1,Pseudomonas amygdali pv. morsprunorum str. M302280,,,,,,
F3DUQ1,EGH09548.1,Pseudomonas amygdali pv. morsprunorum str. M302280,,,,,,
F3DVN2,EGH10018.1,Pseudomonas amygdali pv. morsprunorum str. M302280,,,,,,
tr|A0A3M2WRQ9|A0A3M2WRQ9_PSEA0,EGH06702.1,Pseudomonas amygdali pv. morsprunorum str. M302280,,,,,,
F3EK73,RMU95888.1,Pseudomonas amygdali pv. myricae,,,,,,
F3FB95,KPB16226.1,Pseudomonas amygdali pv. sesami,,,,,,
F3EGS9,RMV81218.1,Pseudomonas amygdali pv. tabaci,,,,,,
F3JWC8,AAP23130.1,Pseudomonas amygdali pv. tabaci,,,,,,
F3K7B2,RMW07384.1,Pseudomonas amygdali pv. tabaci,,,,,,
F3K7B3,RMW07390.1,Pseudomonas amygdali pv. tabaci,,,,,,
F3K8G4,BCS45847.1,Pseudomonas amygdali pv. tabaci,,,,,,
tr|Q83YM6|Q83YM6_PSEAJAvrPphE,AAP23130.1,Pseudomonas amygdali pv. tabaci,,,,,,
F3K3N6,KEZ26582.1,Pseudomonas amygdali pv. tabaci str. 6605,,,,,,
F3K8F7,KEZ64524.1,Pseudomonas amygdali pv. tabaci str. ATCC 11528,,,,,,
hopO1,KPZ17334.1,Pseudomonas amygdali pv. ulmi,,,,,,
F3DP91,AVB18735.1,Pseudomonas avellanae,,,,,,
F3DPC0,AVB18712.1,Pseudomonas avellanae,,,,,,
F3DTN0,AVB18309.1,Pseudomonas avellanae,,,,,,
tr|A0A3M5STQ8|A0A3M5STQ8_9PSED,WP_029774675.1,Pseudomonas avellanae,,,,,,
tr|A0A3M5T0Y0|A0A3M5T0Y0_9PSED,WP_005614674.1,Pseudomonas avellanae,,,,,,
tr|A0A3M5TKI9|A0A3M5TKI9_9PSED,WP_005622002.1,Pseudomonas avellanae,,,,,,
tr|A0A3M5TYK5|A0A3M5TYK5_9PSED,WP_005618892.1,Pseudomonas avellanae,,,,,,
tr|A0A3M5TK21|A0A3M5TK21_9PSED,EKG30487.1,Pseudomonas avellanae BPIC 631,,,,,,
sp|Q8RP04|HPAB3_PSEYMEffector,RMN79840.1,Pseudomonas cannabina,,,,,,
F2ZG41,KPW17936.1,Pseudomonas cannabina pv. alisalensis,,,,,,
hopBD1,RMV73705.1,Pseudomonas caricapapayae,,,,,,
F2ZFE7,WP_005888425.1,Pseudomonas coronafaciens,,,,,,
F2ZH84,WP_005889494.1,Pseudomonas coronafaciens,,,,,,
F2ZKF1,WP_122381139.1,Pseudomonas coronafaciens,,,,,,
F2ZKF4,WP_154897063.1,Pseudomonas coronafaciens,,,,,,
F2ZKN4,WP_051126725.1,Pseudomonas coronafaciens,,,,,,
F2ZNW9,WP_042932691.1,Pseudomonas coronafaciens,,,,,,
F2ZPS9,WP_005894404.1,Pseudomonas coronafaciens,,,,,,
F2ZR76,WP_005895618.1,Pseudomonas coronafaciens,,,,,,
F2ZRP1,WP_005896027.1,Pseudomonas coronafaciens,,,,,,
tr|A0A3M3D8Y0|A0A3M3D8Y0_9PSED,WP_183136853.1,Pseudomonas coronafaciens,,,,,,
tr|A0FDW6|A0FDW6_9PSEDType,ABK13721.1,Pseudomonas coronafaciens pv. coronafaciens,,,,,,
C7DYB0,ACT76408.1,Pseudomonas coronafaciens pv. oryzae,,,,,,
F2ZJW3,RMM36301.1,Pseudomonas coronafaciens pv. oryzae,Ella,,not proven,homolog to HopPmaJ,,
F2ZL57,RMM34852.1,Pseudomonas coronafaciens pv. oryzae,,,,,,
F2ZSA5,RMM35783.1,Pseudomonas coronafaciens pv. oryzae,,,,,,
F2ZE72,QGL54884.1,Pseudomonas coronafaciens pv. oryzae str. 1_6,,,,,,
F2ZPK9,QGL55541.1,Pseudomonas coronafaciens pv. oryzae str. 1_6,,,,,,
F2ZG44,KPY25151.1,Pseudomonas coronafaciens pv. porri,,,,,,
F2ZR75,KPY16535.1,Pseudomonas coronafaciens pv. porri,,,,,,
tr|A0A3M3SCD9|A0A3M3SCD9_9PSED,RMO06323.1,Pseudomonas coronafaciens pv. zizaniae,,,,,,
tr|Q8VPK4|Q8VPK4_PSEFLPutative,AAK74145.1,Pseudomonas fluorescens,,,,,,
F6AEI6,WP_013790450.1,Pseudomonas fulva,Ella,,not proven,homolog to HopPmaJ,,
Q4KI56,WP_011059300.1,Pseudomonas protegens,Ella,,not proven,homolog to HopPmaJ,,
A5W905,WP_003251646.1,Pseudomonas putida,Ella,,not proven,homolog to HopPmaJ,,
B0KGW0,WP_012274157.1,Pseudomonas putida,Ella,,not proven,homolog to HopPmaJ,,
B1J2V8,WP_012312734.1,Pseudomonas putida,Ella,,not proven,homolog to HopPmaJ,,
E4R4X0,WP_014592347.1,Pseudomonas putida,Ella,,not proven,homolog to HopPmaJ,,
F8FWY9,WP_158308184.1,Pseudomonas putida,,,,,,
F8G5Z3,WP_003260709.1,Pseudomonas putida,Ella,,not proven,homolog to HopPmaJ,,
AAZ37991.1,WP_144432394.1,Pseudomonas savastanoi,,,,,,
D7HX72,KAA3532841.1,Pseudomonas savastanoi,,,,,,
D7I6E2,WP_002555790.1,Pseudomonas savastanoi,,,,,,
E7P2B4,WP_004664190.1,Pseudomonas savastanoi,,,,,,
E7P6X3,WP_004665651.1,Pseudomonas savastanoi,,,,,,
E7PAC9,WP_004666247.1,Pseudomonas savastanoi,,,,,,
E7PDN3,WP_080572470.1,Pseudomonas savastanoi,,,,,,
E7PEH8,WP_004667073.1,Pseudomonas savastanoi,,,,,,
E7PH17,WP_080570921.1,Pseudomonas savastanoi,,,,,,
E7PH19,WP_032706902.1,Pseudomonas savastanoi,,,,,,
E7PJ87,WP_004667341.1,Pseudomonas savastanoi,,,,,,
E7PKT1,WP_004667422.1,Pseudomonas savastanoi,,,,,,
E7PU11,WP_004661639.1,Pseudomonas savastanoi,,,,,,
F3K117,WP_005780103.1,Pseudomonas savastanoi,,,,,,
common_HOPBK1__genbank__WP_002553086.1__species_Pseudomonas_savastanoi,WP_082301326.1,Pseudomonas savastanoi,Tal,Cya assay,proven,,hopBK1,hopBK1_Pseudomonas_savastanoi
common_HOPBL1__genbank__KPB19313.1__species_Pseudomonas_savastanoi,KPB19313.1,Pseudomonas savastanoi,Tal,Cya assay,proven,,hopBL1,hopBL1_Pseudomonas_savastanoi
common_HOPBL2__genbank__WP_002555455.1__species_Pseudomonas_savastanoi,WP_002555455.1,Pseudomonas savastanoi,Tal,Cya assay,proven,,hopBL2,hopBL2_Pseudomonas_savastanoi
Q0EDS4,WP_057424979.1,Pseudomonas savastanoi,,,,,,
sp|P13835|AVRB_PSESGAvirulence,WP_122390765.1,Pseudomonas savastanoi,,,,,,
sp|Q8RK06|AVRD1_PSESGEffector,WP_080570921.1,Pseudomonas savastanoi,,,,,,
sp|Q8RK07|AVRD1_PSESSEffector,WP_080719030.1,Pseudomonas savastanoi,,,,,,
sp|Q8RK09|HPAB1_PSESSEffector,Q8RK09.1,Pseudomonas savastanoi,,,,,,
sp|Q8RK12|HPAB1_PSESGEffector,WP_032704419.1,Pseudomonas savastanoi,,,,,,
tr|E7PJ45|E7PJ45_PSESGType,WP_004655586.1,Pseudomonas savastanoi,,,,,,
tr|E7PKT3|E7PKT3_PSESGType,WP_122390119.1,Pseudomonas savastanoi,,,,,,
tr|E7PP21|E7PP21_PSESGType,WP_004662286.1,Pseudomonas savastanoi,,,,,,
E7P0E8,RMM99159.1,Pseudomonas savastanoi pv. glycinea,,,,,,
E7P5K0,RMP97658.1,Pseudomonas savastanoi pv. glycinea,,,,,,
E7P9A8,KPC36016.1,Pseudomonas savastanoi pv. glycinea,,,,,,
E7P9D7,RMM61936.1,Pseudomonas savastanoi pv. glycinea,,,,,,
E7PD74,RMN03783.1,Pseudomonas savastanoi pv. glycinea,,,,,,
E7PDN5,RML43275.1,Pseudomonas savastanoi pv. glycinea,,,,,,
E7PIK1,RMM99159.1,Pseudomonas savastanoi pv. glycinea,,,,,,
G4XKY6,RML85438.1,Pseudomonas savastanoi pv. glycinea,,,,,,
P13836,P13836.1,Pseudomonas savastanoi pv. glycinea,,,,,,
Q48J78,RMQ59255.1,Pseudomonas savastanoi pv. glycinea,,,,,,
sp|P11437|AVRA_PSESGAvirulence,P11437.1,Pseudomonas savastanoi pv. glycinea,,,,,,
sp|Q52481|HRPZ_PSESGHarpin,RMN11121.1,Pseudomonas savastanoi pv. glycinea,,,,,,
tr|E7PLP1|E7PLP1_PSESGType,RMM85621.1,Pseudomonas savastanoi pv. glycinea,,,,,,
E7NZY2,EFW82468.1,Pseudomonas savastanoi pv. glycinea str. B076,,,,,,
E7P9D9,EFW79065.1,Pseudomonas savastanoi pv. glycinea str. B076,,,,,,
E7PCJ5,EFW77914.1,Pseudomonas savastanoi pv. glycinea str. B076,,,,,,
E7PDN4,EFW77541.1,Pseudomonas savastanoi pv. glycinea str. B076,,,,,,
E7PE49,EFW77377.1,Pseudomonas savastanoi pv. glycinea str. B076,,,,,,
E7PIM5,EFW86606.1,Pseudomonas savastanoi pv. glycinea str. race 4,,,,,,
F3C0B4,EGH07595.1,Pseudomonas savastanoi pv. glycinea str. race 4,,,,,,
F3C0Z2,EGH08292.1,Pseudomonas savastanoi pv. glycinea str. race 4,,,,,,
F3CK99,EGH19691.1,Pseudomonas savastanoi pv. glycinea str. race 4,,,,,,
F3CKA0,EGH19692.1,Pseudomonas savastanoi pv. glycinea str. race 4,,,,,,
tr|E7PH30|E7PH30_PSESGType,EFW87133.1,Pseudomonas savastanoi pv. glycinea str. race 4,,,,,,
D7I623,KPX99713.1,Pseudomonas savastanoi pv. nerii,,,,,,
A2BCU4,AAV68743.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
common_HopAT1__genbank_AAX12109.1__uniprot_Q5DI81__species_Pseudomonas_savastanoi_pv._phaseolicola,AAX12109.1,Pseudomonas savastanoi pv. phaseolicola,Ella,AvrRpt2-fusion (Rpt2 dependant HR response) and immunoblot,proven,,A8D8I7,A8D8I7_Pseudomonas_savastanoi_pv._phaseolicola typeIII
E7PP92,MBN4175484.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
common_HopAU1__genbank_AAX12110.1__uniprot_Q5DI80__species_Pseudomonas_savastanoi_pv._phaseolicola,AAX12110.1,Pseudomonas savastanoi pv. phaseolicola,Ella,AvrRpt2-fusion (Rpt2 dependant HR response) and immunoblot,proven,,hopAU1,hopAU1_Pseudomonas_savastanoi_pv._phaseolicola
common_HopAW1__genbank_AAX12112.1__uniprot_Q5DI78__species_Pseudomonas_savastanoi_pv._phaseolicola,AAX12112.1,Pseudomonas savastanoi pv. phaseolicola,Ella,AvrRpt2-fusion (Rpt2 dependant HR response) and immunoblot,proven,"- The uniprot acc. number is for the protein linked to the reference, but there are two identical proteins in uniprot so 2 acc. numbers",Q48B65,Q48B65_Pseudomonas_savastanoi_pv._phaseolicola typeIII
common_HopAV1__genbank_AAX12111.1__uniprot_Q5DI79__species_Pseudomonas_savastanoi_pv._phaseolicola,AAX12111.1,Pseudomonas savastanoi pv. phaseolicola,Ella,AvrRpt2-fusion (Rpt2 dependant HR response) and immunoblot,proven,"- The uniprot acc. number is for the protein linked to the reference, but there are two identical proteins in uniprot so 2 acc. numbers",Q48BB3,Q48BB3_Pseudomonas_savastanoi_pv._phaseolicola typeIII
Q48G35,WP_011169151.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
Q48HC0,WP_011168933.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
Q48LM3,KPY14353.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
Q48NF3,RMQ53289.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
Q48NG8,KPY10453.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
Q4ZRR7,WP_011268236.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
sp|Q48B61|HPAB1_PSE14Effector,WP_011282445.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
sp|Q48DU8|HOAE1_PSE14Effector,WP_011169512.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
sp|Q52430|AVRP3_PSESHCysteine,Q52430.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
tr|A2BCU8|A2BCU8_PSESHAvrPphF,CAM12736.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
tr|Q48B68|Q48B68_PSE14Syringolide,WP_011282454.1,Pseudomonas savastanoi pv. phaseolicola,,,,,,
